sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
8936005871418,,DDV,simple,Default Category/Khoai môn Lệ Phố,base,Khoai mon le pho,<p>abc mo ta</p>,<p>abc</p>,260,1,0,50000,,,,khoai-mon-le-pho-sp,,,,,,,,,,,,"7/23/20, 9:28 PM","7/23/20, 9:28 PM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871791,,DDV,simple,Default Category/Khoai môn Lệ Phố,base,Khoai mon le pho nhan hai san,<p>abc mo ta</p>,<p>abc</p>,260,1,0,48000,,,,khoai-mon-le-pho-nhan-hai-san,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 2:56 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871777,,DDV,simple,Default Category/Khoai môn Lệ Phố,base,Khoai mon le pho nhan thit bo,<p>abc mo ta</p>,<p>abc</p>,260,1,0,52000,,,,khoai-mon-le-pho-nhan-thit-bo,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 2:54 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871784,,DDV,simple,Default Category/Khoai môn Lệ Phố,base,Khoai mon le pho nhan tom,<p>abc mo ta</p>,<p>abc</p>,260,1,0,54000,,,,khoai-mon-le-pho-nhan-tom,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 3:08 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872255,,DDV,simple,Default Category/Khoai môn Lệ Phố,base,Khoai mon le pho huong com,<p>abc mo ta</p>,<p>abc</p>,260,1,0,50000,,,,khoai-mon-le-pho-huong-com,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872279,,DDV,simple,Default Category/Khoai môn Lệ Phố,base,Khoai mon le pho nhan dau do,<p>abc mo ta</p>,<p>abc</p>,260,1,0,49000,,,,khoai-mon-le-pho-nhan-dau-do,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873047,,DDV,simple,Default Category/Bánh khoai quê hương,base,Banh khoai que huong ken vang,<p>abc mo ta</p>,<p>abc</p>,230,1,0,44000,,,,banh-khoai-que-huong-ken-vang,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873061,,DDV,simple,Default Category/Bánh khoai quê hương,base,Banh khoai que huong luc lac,<p>abc mo ta</p>,<p>abc</p>,280,1,0,49000,,,,banh-khoai-que-huong-luc-lac,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873450,,DDV,simple,Default Category/Ngon ngon bánh chuối,base,Ngon ngon banh chuoi nhan dua,<p>abc mo ta</p>,<p>abc</p>,280,1,0,48000,,,,ngon-ngon-banh-chuoi-nhan-dua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873467,,DDV,simple,Default Category/Ngon ngon bánh chuối,base,Ngon ngon banh chuoi nhan que,<p>abc mo ta</p>,<p>abc</p>,280,1,0,47000,,,,ngon-ngon-banh-chuoi-nhan-que,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870053,,DDV,simple,Default Category/Nem gia đình,base,Nem gia dinh dac biet,<p>abc mo ta</p>,<p>abc</p>,480,1,0,62000,,,,nem-gia-dinh-dac-biet,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870046,,DDV,simple,Default Category/Nem gia đình,base,Nem gia dinh thit bo,<p>abc mo ta</p>,<p>abc</p>,480,1,0,64000,,,,nem-gia-dinh-thit-bo,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870015,,DDV,simple,Default Category/Nem gia đình,base,Nem gia dinh tom cua,<p>abc mo ta</p>,<p>abc</p>,480,1,0,62000,,,,nem-gia-dinh-tom-cua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870909,,DDV,simple,Default Category/Nem gia đình,base,Nem dac biet,<p>abc mo ta</p>,<p>abc</p>,900,1,0,104000,,,,nem-dac-biet,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870916,,DDV,simple,Default Category/Nem gia đình,base,Nem tom cua,<p>abc mo ta</p>,<p>abc</p>,900,1,0,104000,,,,nem-tom-cua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872002,,DDV,simple,Default Category/Nem gia đình,base,Nem kem bo,<p>abc mo ta</p>,<p>abc</p>,250,1,0,39000,,,,nem-kem-bo,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872316,,DDV,simple,Default Category/Nem gia đình,base,Nem khoai tay,<p>abc mo ta</p>,<p>abc</p>,200,1,0,43000,,,,nem-khoai-tay,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872293,,DDV,simple,Default Category/Nem gia đình,base,Nem nam,<p>abc mo ta</p>,<p>abc</p>,200,1,0,43000,,,,nem-nam,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872323,,DDV,simple,Default Category/Chả giò,base,Cha gio hai san,<p>abc mo ta</p>,<p>abc</p>,200,1,0,41000,,,,cha-gio-hai-san,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873481,,DDV,simple,Default Category/Chả giò,base,Cha gio re con tom,<p>abc mo ta</p>,<p>abc</p>,300,1,0,79000,,,,cha-gio-re-con-tom,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873474,,DDV,simple,Default Category/Chả giò,base,Cha gio re nhan tom,<p>abc mo ta</p>,<p>abc</p>,300,1,0,59000,,,,cha-gio-re-nhan-tom,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873498,,DDV,simple,Default Category/Chả giò,base,Cha gio ram con tom,<p>abc mo ta</p>,<p>abc</p>,285,1,0,102000,,,,cha-gio-ram-con-tom,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872200,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza Tonda ( Pizza nhan hai san),<p>abc mo ta</p>,<p>abc</p>,350,1,0,106000,,,,pizza-tonda-pizza-nhan-hai-san,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872248,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza Margarita ( Pizza thit nguoi),<p>abc mo ta</p>,<p>abc</p>,350,1,0,104000,,,,pizza-margarita-pizza-thit-nguoi,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872231,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza Italian Style (Pizza nhan Xuc Xich ),<p>abc mo ta</p>,<p>abc</p>,350,1,0,97000,,,,pizza-italian-style-pizza-nhan-xuc-xich,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872217,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza special ( Pizza nhan phomai),<p>abc mo ta</p>,<p>abc</p>,350,1,0,88000,,,,pizza-special-pizza-nhan-phomai,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872224,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza Meat Loves ( Pizza Nhan Thit),<p>abc mo ta</p>,<p>abc</p>,350,1,0,97000,,,,pizza-meat-loves-pizza-nhan-thit,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871470,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh ca,<p>abc mo ta</p>,<p>abc</p>,420,1,0,54000,,,,vien-ngo-nghinh-ca,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871579,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh tom,<p>abc mo ta</p>,<p>abc</p>,420,1,0,69000,,,,vien-ngo-nghinh-tom,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870305,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh bo,<p>abc mo ta</p>,<p>abc</p>,150,1,0,59000,,,,vien-ngo-nghinh-bo,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872088,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh rau cu,<p>abc mo ta</p>,<p>abc</p>,420,1,0,69000,,,,vien-ngo-nghinh-rau-cu,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873252,,DDV,simple,Default Category/Xôi chiên phồng,base,Xoi chien phong song hy,<p>abc mo ta</p>,<p>abc</p>,480,1,0,39000,,,,xoi-chien-phong-song-hy,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873238,,DDV,simple,Default Category/Xôi chiên phồng,base,Xoi chien phong cot dua,<p>abc mo ta</p>,<p>abc</p>,480,1,0,35000,,,,xoi-chien-phong-cot-dua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873245,,DDV,simple,Default Category/Xôi chiên phồng,base,Xoi chien phong la dua,<p>abc mo ta</p>,<p>abc</p>,480,1,0,37000,,,,xoi-chien-phong-la-dua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
